id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
186,Movie,AK vs AK,Vikramaditya Motwane,"Anil Kapoor, Anurag Kashyap, Sonam Kapoor, Harshvardhan Kapoor",India,2020,TV-MA,108 min,"Action & Adventure, Comedies, Thrillers","After a public spat, a disgraced filmmaker kidnaps the daughter of a movie star and films the star's desperate search for her in real-time with hidden cameras."
187,Movie,Chhalaang,Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuccha, Mohammed Zeeshan Ayyub, Saurabh Shukla",India,2020,PG,136 min,"Comedies, Dramas, Sports Movies","A happy-go-lucky Physical Training Instructor in a semi-government funded school is forced to take his job seriously when a new PT teacher challenges his position and his love interest."
188,Movie,Durgamati: The Myth,G. Ashok,"Bhumi Pednekar, Arshad Warsi, Jisshu Sengupta, Mahie Gill",India,2020,TV-MA,155 min,"Horror Movies, Thrillers","An IAS officer is imprisoned in a haunted house for interrogation. However, things take a terrifying turn when she gets possessed by a spirit."
189,Movie,Gunjan Saxena: The Kargil Girl,Sharan Sharma,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Vineet Kumar Singh",India,2020,TV-14,112 min,"Biographical Dramas, Dramas, War Movies","The inspiring true story of Gunjan Saxena, the first Indian female air-force pilot in combat."
190,Movie,Laxmii,Raghava Lawrence,"Akshay Kumar, Kiara Advani, Sharad Kelkar",India,2020,TV-MA,141 min,"Comedies, Horror Movies","A man who doesn't believe in ghosts is possessed by the spirit of a transgender person who is out for revenge."
191,Movie,Serious Men,Sudhir Mishra,"Nawazuddin Siddiqui, Indira Tiwari, Aakshath Das, Nassar",India,2020,TV-14,114 min,"Comedies, Dramas","Tormented with his 'underprivileged' societal status, a father capitalizes on his son's newfound fame as a boy-genius. He soon realizes that the secret he harbors will destroy the very thing he loves the most."
192,Movie,Shakuntala Devi,Anu Menon,"Vidya Balan, Sanya Malhotra, Jisshu Sengupta, Amit Sadh",India,2020,PG,127 min,"Biographical Dramas, Comedies, Dramas","The story of the world-renowned mathematician Shakuntala Devi, who was popularly known as the 'human computer'. The film explores her life as a mathematician and as a mother."
193,Movie,Angrezi Medium,Homi Adajania,"Irrfan Khan, Radhika Madan, Kareena Kapoor Khan, Deepak Dobriyal",India,2020,PG,145 min,"Comedies, Dramas","A devoted father goes to great lengths to fulfill his daughter's dream of studying in London. A heartwarming story of family and ambition."
194,Movie,Gulabo Sitabo,Shoojit Sircar,"Amitabh Bachchan, Ayushmann Khurrana, Vijay Raaz, Brijendra Kala",India,2020,TV-PG,124 min,"Comedies, Dramas","Two scheming men, a landlord and his tenant, are caught in a game of one-upmanship, each one trying to outdo the other in their pursuit of their own selfish interests."
195,Movie,Kaamyaab,Hardik Mehta,"Sanjay Mishra, Deepak Dobriyal, Sarika Singh",India,2018,TV-14,109 min,"Dramas, Independent Movies","A washed-up character actor decides to come out of retirement to complete his 500th film, hoping to land a memorable role that will make him a star."
196,Movie,Malang,Mohit Suri,"Aditya Roy Kapur, Disha Patani, Anil Kapoor, Kunal Khemu",India,2020,TV-MA,135 min,"Action & Adventure, Romantic Movies, Thrillers","A young man goes on a killing spree, targeting corrupt police officers. The story unfolds in two different timelines, revealing his motive and his tragic love story."
197,Movie,Panga,Ashwiny Iyer Tiwari,"Kangana Ranaut, Jassie Gill, Richa Chadda, Neena Gupta",India,2020,PG,131 min,"Dramas, Family Movies, Sports Movies","A former national-level Kabaddi player, who is now a mother and wife, decides to make a comeback to the sport she loves, with the support of her family."
198,Movie,Jawaani Jaaneman,Nitin Kakkar,"Saif Ali Khan, Alaya F, Tabu, Kubbra Sait",India,2020,TV-14,119 min,"Comedies, Dramas, Romantic Movies","A 40-year-old man, who has never grown up, has his life turned upside down when he discovers he has a 21-year-old daughter."
199,Movie,Street Dancer 3D,Remo D'Souza,"Varun Dhawan, Shraddha Kapoor, Prabhu Deva, Nora Fatehi",India,2020,PG,146 min,"Dramas, Music & Musicals","Two rival dance groups from India and Pakistan, who are always at loggerheads, compete in an international dance competition. They must overcome their differences to win."
200,Movie,Tanhaji: The Unsung Warrior,Om Raut,"Ajay Devgn, Saif Ali Khan, Kajol, Sharad Kelkar",India,2020,TV-14,135 min,"Action & Adventure, Historical Movies, War Movies","The story of the Maratha warrior Tanaji Malusare, who was Chhatrapati Shivaji Maharaj's trusted lieutenant. He leads a surgical strike to recapture the Kondhana fort from the Mughals."
201,Movie,Dabangg 3,Prabhu Deva,"Salman Khan, Sonakshi Sinha, Sudeep, Saiee Manjrekar",India,2019,TV-14,160 min,"Action & Adventure, Comedies","The third installment in the Dabangg series. Chulbul Pandey is back, and this time he has to confront his past when a ruthless old enemy returns."
202,Movie,Good Newwz,Raj Mehta,"Akshay Kumar, Kareena Kapoor Khan, Diljit Dosanjh, Kiara Advani",India,2019,TV-14,134 min,"Comedies, Dramas, Romantic Movies","Two couples with the same surname, who are trying to have a baby through IVF, have their lives turned upside down when their sperm samples are accidentally swapped."
203,Movie,Mardaani 2,Gopi Puthran,"Rani Mukerji, Vishal Jethwa, Jisshu Sengupta",India,2019,TV-MA,106 min,"Action & Adventure, Crime Movies, Thrillers","Police officer Shivani Shivaji Roy is back, and this time she is on the trail of a brutal and remorseless serial rapist and murderer."
204,Movie,Pati Patni Aur Woh,Mudassar Aziz,"Kartik Aaryan, Bhumi Pednekar, Ananya Panday, Aparshakti Khurana",India,2019,TV-14,126 min,"Comedies, Romantic Movies","A married man, bored with his mundane life, finds his life thrown into turmoil when he falls for his young and attractive colleague."
205,Movie,Panipat,Ashutosh Gowariker,"Arjun Kapoor, Sanjay Dutt, Kriti Sanon, Mohnish Bahl",India,2019,TV-MA,173 min,"Action & Adventure, Historical Movies, War Movies","The story of the Third Battle of Panipat, which was fought between the Maratha Empire and the invading Afghan army, led by Ahmad Shah Abdali."
206,Movie,Bala,Amar Kaushik,"Ayushmann Khurrana, Bhumi Pednekar, Yami Gautam, Saurabh Shukla",India,2019,TV-14,131 min,"Comedies, Dramas, Social Issue Dramas","A young man suffering from premature balding has to deal with societal pressure and a lack of confidence. His life changes when he discovers a solution to his problem."
207,Movie,Housefull 4,Farhad Samji,"Akshay Kumar, Riteish Deshmukh, Bobby Deol, Kriti Sanon, Pooja Hegde, Kriti Kharbanda",India,2019,TV-14,146 min,"Comedies, Fantasy Movies","A set of three brothers are due to marry a set of three sisters, until one of the brothers starts to realize that they are all reincarnations from 600 years ago and the wrong couples are about to get married."
208,Movie,Saand Ki Aankh,Tushar Hiranandani,"Taapsee Pannu, Bhumi Pednekar, Prakash Jha, Vineet Kumar Singh",India,2019,PG,148 min,"Biographical Dramas, Sports Movies","The true story of two elderly women from a village in Uttar Pradesh, who became champion sharpshooters in their 60s."
209,Movie,War,Siddharth Anand,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana",India,2019,TV-MA,154 min,"Action & Adventure, Thrillers","An Indian soldier is assigned to eliminate his former mentor, who has gone rogue. A cat-and-mouse game ensues, leading to a series of high-octane action sequences."
210,Movie,The Sky Is Pink,Shonali Bose,"Priyanka Chopra Jonas, Farhan Akhtar, Zaira Wasim, Rohit Suresh Saraf",India,2019,PG,143 min,"Dramas, Family Movies, Romantic Movies","The incredible love story of a couple spanning 25 years, told through the lens of their feisty teenage daughter who is diagnosed with a terminal illness."
211,Movie,Dream Girl,Raaj Shaandilyaa,"Ayushmann Khurrana, Nushrratt Bharuccha, Annu Kapoor, Manjot Singh",India,2019,TV-14,132 min,"Comedies, Romantic Movies","A young man, who has a talent for impersonating women's voices, gets a job at a call center where he speaks to lonely men as 'Pooja'. His life gets complicated when his clients fall in love with his alter ego."
212,Movie,Mission Mangal,Jagan Shakti,"Akshay Kumar, Vidya Balan, Sonakshi Sinha, Taapsee Pannu, Nithya Menen, Kirti Kulhari, Sharman Joshi",India,2019,PG,130 min,"Dramas, Historical Movies, Science & Nature TV","The inspiring true story of the scientists at the Indian Space Research Organisation (ISRO) who contributed to the Mars Orbiter Mission, India's first interplanetary expedition."
213,Movie,Batla House,Nikkhil Advani,"John Abraham, Mrunal Thakur, Ravi Kishan, Nora Fatehi",India,2019,TV-MA,146 min,"Action & Adventure, Dramas, Thrillers","Based on the true story of the Batla House encounter case that took place in 2008. A police officer fights to catch the culprits and prove the innocence of his team."
214,Movie,Super 30,Vikas Bahl,"Hrithik Roshan, Mrunal Thakur, Pankaj Tripathi, Nandish Sandhu",India,2019,PG,154 min,"Biographical Dramas, Dramas","The story of mathematician Anand Kumar, who started a coaching program to help 30 underprivileged students prepare for the IIT entrance exams."
215,Movie,Kabir Singh,Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani, Arjan Bajwa, Suresh Oberoi",India,2019,TV-MA,173 min,"Dramas, Romantic Movies","A brilliant but short-tempered medical student goes on a path of self-destruction after his girlfriend is forced to marry someone else."
216,Movie,Bharat,Ali Abbas Zafar,"Salman Khan, Katrina Kaif, Sunil Grover, Disha Patani, Jackie Shroff",India,2019,TV-14,155 min,"Action & Adventure, Dramas","The journey of a man and a nation together. The film traces India's post-independence history from the perspective of a common man."
217,Movie,De De Pyaar De,Akiv Ali,"Ajay Devgn, Tabu, Rakul Preet Singh, Jimmy Sheirgill",India,2019,TV-14,135 min,"Comedies, Romantic Movies","A 50-year-old man falls in love with a 26-year-old woman. Their relationship is put to the test when he takes her to meet his ex-wife and his family."
218,Movie,Student of the Year 2,Punit Malhotra,"Tiger Shroff, Tara Sutaria, Ananya Panday, Aditya Seal",India,2019,TV-14,146 min,"Dramas, Romantic Movies, Sports Movies","A college student's life is turned upside down when he is thrown out of his school. He must now fight to win the 'Student of the Year' competition and reclaim his dignity."
219,Movie,Kalank,Abhishek Varman,"Varun Dhawan, Alia Bhatt, Sanjay Dutt, Madhuri Dixit, Sonakshi Sinha, Aditya Roy Kapur",India,2019,TV-MA,166 min,"Dramas, Period Pieces, Romantic Movies","Set in pre-independence India, the film explores the complex relationships and hidden truths of six characters from a wealthy family in the city of Husnabad."
220,Movie,Kesari,Anurag Singh,"Akshay Kumar, Parineeti Chopra, Mir Sarwar",India,2019,TV-14,150 min,"Action & Adventure, Historical Movies, War Movies","Based on the historic Battle of Saragarhi, in which an army of 21 Sikhs fought against 10,000 Afghans in 1897."
221,Movie,Luka Chuppi,Laxman Utekar,"Kartik Aaryan, Kriti Sanon, Aparshakti Khurana, Pankaj Tripathi",India,2019,TV-14,126 min,"Comedies, Romantic Movies","A television reporter in Mathura falls in love with a headstrong woman. They decide to try a live-in relationship, but their plan goes awry when their families get involved."
222,Movie,Total Dhamaal,Indra Kumar,"Ajay Devgn, Anil Kapoor, Madhuri Dixit, Riteish Deshmukh, Arshad Warsi, Javed Jaffrey, Sanjay Mishra",India,2019,PG,130 min,"Action & Adventure, Comedies","A group of eccentric characters race against each other to find a hidden treasure of 50 crore rupees. A wild and chaotic adventure ensues."
223,Movie,Manikarnika: The Queen of Jhansi,Kangana Ranaut, Radha Krishna Jagarlamudi,"Kangana Ranaut, Jisshu Sengupta, Atul Kulkarni, Mohammed Zeeshan Ayyub",India,2019,TV-14,148 min,"Action & Adventure, Biographical Dramas, War Movies","The story of Rani Lakshmibai of Jhansi, one of the leading figures of the Indian Rebellion of 1857 and a symbol of resistance to the British Raj."
224,Movie,Uri: The Surgical Strike,Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Yami Gautam, Mohit Raina",India,2019,TV-MA,138 min,"Action & Adventure, War Movies","Based on the true story of the 2016 surgical strikes conducted by the Indian Army in retaliation to the Uri attack. The film follows the special forces team that carried out the mission."
225,Movie,Zero,Aanand L. Rai,"Shah Rukh Khan, Anushka Sharma, Katrina Kaif, Mohammed Zeeshan Ayyub",India,2018,TV-14,164 min,"Comedies, Dramas, Romantic Movies","A vertically challenged man from a small town dreams of dating a superstar. His life takes an unexpected turn when he gets a chance to meet her."
226,Movie,Kedarnath,Abhishek Kapoor,"Sushant Singh Rajput, Sara Ali Khan, Nitish Bharadwaj",India,2018,TV-14,120 min,"Dramas, Romantic Movies","A Hindu pilgrim and a Muslim porter fall in love during a pilgrimage to the holy town of Kedarnath. Their love is put to the test by the devastating floods that struck the region in 2013."
227,Movie,2.0,S. Shankar,"Rajinikanth, Akshay Kumar, Amy Jackson",India,2018,TV-14,148 min,"Action & Adventure, Sci-Fi & Fantasy","An ornithologist who is driven to suicide returns as a vengeful spirit, targeting mobile phone users. A scientist must reactivate his robotic creation, Chitti, to stop him."
228,Movie,Thugs of Hindostan,Vijay Krishna Acharya,"Amitabh Bachchan, Aamir Khan, Katrina Kaif, Fatima Sana Shaikh, Lloyd Owen",India,2018,TV-MA,164 min,"Action & Adventure, Period Pieces","In 1795, a band of thugs led by a fierce warrior poses a serious challenge to the British East India Company. The British hire a small-time thug to infiltrate the group and bring them down."
229,Movie,Loveyatri,Abhiraj Minawala,"Aayush Sharma, Warina Hussain, Ronit Roy, Ram Kapoor",India,2018,PG,139 min,"Comedies, Romantic Movies","A happy-go-lucky boy from Vadodara falls in love with a bright young NRI girl who visits his town during the Navratri festival. He follows her to the UK to win her heart."
230,Movie,Sui Dhaaga,Sharat Katariya,"Varun Dhawan, Anushka Sharma, Raghubir Yadav",India,2018,PG,122 min,"Comedies, Dramas","A young man from a small town decides to start his own tailoring business with his wife's support. The film celebrates the spirit of entrepreneurship and self-reliance."
231,Movie,Batti Gul Meter Chalu,Shree Narayan Singh,"Shahid Kapoor, Shraddha Kapoor, Divyendu Sharma, Yami Gautam",India,2018,TV-14,175 min,"Dramas, Social Issue Dramas","A lawyer takes on a powerful electricity company after his friend commits suicide due to an inflated electricity bill. The film highlights the issue of power theft and faulty billing."
232,Movie,Manmarziyaan,Anurag Kashyap,"Abhishek Bachchan, Taapsee Pannu, Vicky Kaushal",India,2018,TV-MA,157 min,"Dramas, Romantic Movies","A spirited young woman is caught in a love triangle between her commitment-phobic boyfriend and a responsible NRI man who wants to marry her."
233,Movie,Gold,Reema Kagti,"Akshay Kumar, Mouni Roy, Kunal Kapoor, Amit Sadh, Vineet Kumar Singh, Sunny Kaushal",India,2018,PG,154 min,"Dramas, Historical Movies, Sports Movies","The true story of the Indian hockey team's journey to win the first Olympic gold medal for an independent India at the 1948 Olympics in London."
234,Movie,Satyameva Jayate,Milap Milan Zaveri,"John Abraham, Manoj Bajpayee, Aisha Sharma, Amruta Khanvilkar",India,2018,TV-MA,141 min,"Action & Adventure, Thrillers","A vigilante goes on a killing spree, targeting corrupt police officers. An honest cop is tasked with stopping him, leading to a game of cat and mouse."
235,Movie,Karwaan,Akarsh Khurana,"Irrfan Khan, Dulquer Salmaan, Mithila Palkar",India,2018,TV-14,114 min,"Comedies, Dramas","An IT professional, who is unhappy with his job, embarks on an unexpected road trip with his quirky friend and a college student after a mix-up with dead bodies."
236,Movie,Fanney Khan,Atul Manjrekar,"Anil Kapoor, Aishwarya Rai Bachchan, Rajkummar Rao, Pihu Sand",India,2018,PG,130 min,"Comedies, Dramas, Music & Musicals","A father goes to extreme lengths to fulfill his daughter's dream of becoming a singing sensation. He kidnaps a famous pop star to get his daughter a chance to perform."
237,Movie,Mulk,Anubhav Sinha,"Rishi Kapoor, Taapsee Pannu, Prateik Babbar, Rajat Kapoor",India,2018,TV-14,140 min,"Dramas, Social Issue Dramas","A Muslim family in a small town in India has to fight for their honor after their son is accused of being a terrorist. The film explores themes of prejudice and patriotism."
238,Movie,Dhadak,Shashank Khaitan,"Janhvi Kapoor, Ishaan Khatter, Ashutosh Rana",India,2018,TV-14,138 min,"Dramas, Romantic Movies","A young couple from different castes fall in love, but their relationship is opposed by their families. They elope to build a new life together, but their happiness is short-lived."
239,Movie,Soorma,Shaad Ali,"Diljit Dosanjh, Taapsee Pannu, Angad Bedi, Vijay Raaz",India,2018,PG,131 min,"Biographical Dramas, Sports Movies","The inspiring true story of hockey player Sandeep Singh, who made a comeback to the sport after being accidentally shot and paralyzed."
240,Movie,Veere Di Wedding,Shashank Ghosh,"Kareena Kapoor Khan, Sonam Kapoor, Swara Bhaskar, Shikha Talsania, Sumeet Vyas",India,2018,TV-MA,120 min,"Comedies, Dramas, Romantic Movies","Four female friends navigate the challenges of love, life, and marriage in contemporary Delhi. The film celebrates female friendship and challenges societal norms."
241,Movie,Parmanu: The Story of Pokhran,Abhishek Sharma,"John Abraham, Diana Penty, Boman Irani, Anuja Sathe",India,2018,PG,129 min,"Dramas, Historical Movies, Thrillers","Based on the true story of the nuclear bomb test explosions conducted by the Indian Army at Pokhran in 1998. The film follows the team that made the mission a success."
242,Movie,Raazi,Meghna Gulzar,"Alia Bhatt, Vicky Kaushal, Jaideep Ahlawat, Rajit Kapur, Shishir Sharma",India,2018,TV-14,138 min,"Action & Adventure, Dramas, Thrillers","In 1971, a young Indian woman is married off to a Pakistani army officer to spy for her country during the Indo-Pakistani War. She must walk a tightrope between her duty and her emotions."
243,Movie,102 Not Out,Umesh Shukla,"Amitabh Bachchan, Rishi Kapoor, Jimit Trivedi",India,2018,PG,102 min,"Comedies, Dramas","A 102-year-old man tries to break the world record for the oldest living person. To do so, he must get rid of his grumpy 75-year-old son, so he threatens to send him to an old age home."
244,Movie,October,Shoojit Sircar,"Varun Dhawan, Banita Sandhu, Gitanjali Rao",India,2018,PG,115 min,"Dramas, Romantic Movies","A hotel management trainee's life is changed when his colleague has a tragic accident. He becomes obsessed with her recovery, leading to a journey of love, loss, and self-discovery."
245,Movie,Baaghi 2,Ahmed Khan,"Tiger Shroff, Disha Patani, Manoj Bajpayee, Randeep Hooda, Prateik Babbar",India,2018,TV-MA,144
